2006,P.S.G. COLLEGE OF TECHNOLOGY (AUTONOMOUS)
4965,P.S.R ENGINEERING COLLEGE (AUTONOMOUS)
4995,P.S.R.RENGASAMY COLLEGE OF ENGINEERING FOR WOMEN
2642,P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY
1226,P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY
5911,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY
2628,PAAVAI COLLEGE OF ENGINEERING
2611,PAAVAI ENGINEERING COLLEGE (AUTONOMOUS)
1104,PALLAVA RAJA COLLEGE OF ENGINEERING
1209,PALLAVAN COLLEGE OF ENGINEERING
5912,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE
1210,PANIMALAR ENGINEERING COLLEGE
1231,PANIMALAR INSTITUTE OF TECHNOLOGY
5916,PANNAI COLLEGE OF ENGINEERING AND TECHNOLOGY
3833,PARISUTHAM INSTITUTE OF TECHNOLOGY AND SCIENCE
2716,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY
2768,PARK COLLEGE OF TECHNOLOGY
2657,PAVAI COLLEGE OF TECHNOLOGY
3815,PAVENDAR BHARATHIDASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
1452,PERI INSTITUTE OF TECHNOLOGY
4966,PET ENGINEERING COLLEGE
1125,PMR ENGINEERING COLLEGE
1525,PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY
2354,POLLACHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
4981,PONJESLY COLLEGE OF ENGINEERING
2753,PPG INSTITUTE OF TECHNOLOGY
1110,PRATHYUSHA ENGINEERING COLLEGE
1442,PRINCE Dr.K.VASUDEVAN COLLEGE OF ENGINEERING AND TECHNOLOGY
1414,PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE
1510,PRIYADARSHINI ENGINEERING COLLEGE
2377,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH
4964,PSN COLLEGE OF ENGINEERING AND TECHNOLOGY
4989,PSN ENGINEERING COLLEGE
4949,PSN INSTITUTE OF TECHNOLOGY AND SCIENCE
5910,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY
2731,R V S COLLEGE OF ENGINEERING AND TECHNOLOGY
1112,R.M.D. ENGINEERING COLLEGE
1128,R.M.K. COLLEGE OF ENGINEERING AND TECHNOLOGY
1113,R.M.K. ENGINEERING COLLEGE
5913,R.V.S. COLLEGE OF ENGINEERING
1141,R.V.S. PADHMAVATHY COLLEGE OF ENGINEERING & TECHNOLOGY
5862,R.V.S. SCHOOL OF ENGINEERING AND TECHNOLOGY
1211,RAJALAKSHMI ENGINEERING COLLEGE (AUTONOMOUS)
1432,RAJALAKSHMI INSTITUTE OF TECHNOLOGY
4973,RAJAS ENGINEERING COLLEGE
